year,v3_return,active_vs_EqualWeight_weekly,active_vs_Markowitz_CVXPY_weekly,active_vs_HMM_MPC_CVXPY_weekly
2013,0.3524713978711373,0.055223489730769,0.0805010317125251,0.0609355305039251
2014,0.1687480844581537,0.0327961433659929,-0.0227434278210118,-0.0190153328758105
2015,0.0427738308962841,0.0579998217712236,0.0250188663105292,-0.005755746280367
2016,0.0440032930191991,-0.0907953840603365,-0.0012901729322944,-0.0163249270373414
2017,0.2090506835299255,0.0131513562303131,0.0394686671455914,0.0400605478285612
2018,-0.015703536587207,0.0498738958647851,0.021177611287732,0.0122716846214345
2019,0.2982721288162939,0.0146256518717177,0.0084862752392387,-0.0278749458835801
2020,0.1283044907953159,0.0145882443316414,0.0057686030554254,0.018023672000915
2021,0.2073677950153754,-0.0727446466157015,-0.0046328171803359,0.0043642697248082
2022,0.0724986375566931,0.1264789088571433,0.1630045506701447,0.162831144098147
2023,0.1105662634811126,-0.0245302985517993,0.1106579694648581,0.1036137361430263
2024,0.1664527843907621,0.0129695833578984,0.0957380921188499,0.0906942448422618
