asset,annualized_return,annualized_volatility,sharpe,max_drawdown,daily_skew,daily_kurtosis,min_daily_return,max_daily_return
XLB,0.08531023831787832,0.2082645170417489,0.4096244503367655,-0.3727418713130286,-0.2766506504065295,6.991259444434361,-0.11008379000574486,0.11760096904920392
XLE,0.06034801912274901,0.27548161828213763,0.2190636874397293,-0.7126278006583637,-0.38396463432326466,13.004373425094283,-0.2014114649295985,0.16037360886222207
XLF,0.11173330138005011,0.22167171471031719,0.5040485274635256,-0.42862532367901773,-0.21052354050099537,11.506756443980422,-0.13709330406514775,0.13156561315201376
XLI,0.12349435269317799,0.1949867655364267,0.6333473574651776,-0.4233408641445162,-0.3193527838951295,10.460396194959289,-0.11344143502417126,0.12651192880891426
XLK,0.18571357968417246,0.21367283271484985,0.8691492377601906,-0.335590591406703,-0.21503969036659923,8.772020593026747,-0.1381398201496239,0.11731903803473953
XLP,0.10255286075999881,0.1376868831032059,0.7448266563135743,-0.2451226412952724,-0.2944916337584658,13.793868475227406,-0.09395621950085864,0.08510646919453113
XLU,0.10231482504304301,0.17646219036011934,0.5798116006281099,-0.3606677403271811,-0.0008472763298127134,15.848704304129697,-0.11357726161542081,0.1279343805019706
XLV,0.12302460131705106,0.16131658032913643,0.7626283737607275,-0.284043156500589,-0.27107221257720643,7.813338040848807,-0.09861004150759956,0.07705720975122543
XLY,0.15256744146734813,0.20145440631093953,0.7573298805480796,-0.3966956484331754,-0.5494775696426032,7.4100999788566,-0.12668643110093825,0.09379631644336572
SHY,0.011284272261777417,0.013301100477255448,0.8483713269494688,-0.05707102543679743,0.804019702270698,12.421419545879207,-0.005088087748612691,0.009974044865229237
