regime,selected_candidate,selection_count
calm,g5_a100_cap25_s1,129
calm,g8_a025_cap25_s1,54
calm,g5_a025_cap25_s1,51
calm,g8_a100_cap25_s1,47
calm,g5_a025_cap10_s1,31
calm,g8_a025_cap10_s1,12
calm,g5_a075_cap10_s1,5
stress,g8_a100_cap25_s1,37
stress,g5_a025_cap10_s1,29
stress,g5_a075_cap10_s1,17
stress,g8_a075_cap25_s1,11
stress,g8_a025_cap25_s1,6
stress,g5_a100_cap25_s1,3
stress,g5_a025_cap25_s1,2
transition,g5_a100_cap25_s1,51
transition,g5_a025_cap10_s1,38
transition,g5_a025_cap25_s1,28
transition,g8_a100_cap25_s1,20
transition,g5_a075_cap10_s1,18
transition,g5_a100_cap10_s1,17
transition,g8_a025_cap25_s1,14
transition,g8_a075_cap25_s1,6
