strategy,asset,avg_weight,annualized_gross_contribution,asset_annualized_return
EqualWeight_weekly,XLB,0.1110391140173543,0.011746224693501206,0.08929762792193996
EqualWeight_weekly,XLE,0.11105424041599446,0.010316033116563613,0.051354782182315706
EqualWeight_weekly,XLF,0.11112158712607395,0.016237668344857414,0.13130886677061637
EqualWeight_weekly,XLI,0.11110179153581239,0.015468450669462388,0.12802062633868472
EqualWeight_weekly,XLK,0.11125649179674854,0.023209338267483018,0.20458128385816798
EqualWeight_weekly,XLP,0.1110924069008254,0.01126463538075289,0.09716568451990337
EqualWeight_weekly,XLU,0.11105941672208779,0.012449370247062974,0.10187528465466844
EqualWeight_weekly,XLV,0.11109699988027591,0.014424681089862284,0.12451271074225434
EqualWeight_weekly,XLY,0.11117795160482688,0.017772036485417236,0.14971433021216107
Markowitz_CVXPY_weekly,XLB,0.0032675893459175546,-0.0004544353676754481,0.08929762792193996
Markowitz_CVXPY_weekly,XLE,0.03349401843535932,0.001541936166825803,0.051354782182315706
Markowitz_CVXPY_weekly,XLF,0.034073637167953696,0.0036182285065258796,0.13130886677061637
Markowitz_CVXPY_weekly,XLI,0.008877968090706638,-0.001360787396826917,0.12802062633868472
Markowitz_CVXPY_weekly,XLK,0.09149499251441316,0.0080224364241558,0.20458128385816798
Markowitz_CVXPY_weekly,XLP,0.30360967637402037,0.033659581435978025,0.09716568451990337
Markowitz_CVXPY_weekly,XLU,0.17857084771988335,0.015637804489304682,0.10187528465466844
Markowitz_CVXPY_weekly,XLV,0.23739857675282197,0.031834920256655824,0.12451271074225434
Markowitz_CVXPY_weekly,XLY,0.10921269359892379,0.01322579136964272,0.14971433021216107
HMM_MPC_CVXPY_weekly,XLB,0.001811880465841429,-0.000855466710284406,0.08929762792193996
HMM_MPC_CVXPY_weekly,XLE,0.0340470490694519,0.00033495360251246595,0.051354782182315706
HMM_MPC_CVXPY_weekly,XLF,0.03514919293532572,0.001048451205585668,0.13130886677061637
HMM_MPC_CVXPY_weekly,XLI,0.013883422307750033,0.0006247185541852307,0.12802062633868472
HMM_MPC_CVXPY_weekly,XLK,0.13105701527417796,0.02113983382021874,0.20458128385816798
HMM_MPC_CVXPY_weekly,XLP,0.2950426747587201,0.03142303367690257,0.09716568451990337
HMM_MPC_CVXPY_weekly,XLU,0.17198997718470474,0.01851701356331428,0.10187528465466844
HMM_MPC_CVXPY_weekly,XLV,0.22671575729102192,0.027443268102511135,0.12451271074225434
HMM_MPC_CVXPY_weekly,XLY,0.09030303071300604,0.013913982632636213,0.14971433021216107
